tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
8/1/2020,Penyelamatan,Kebon Bawang,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
8/1/2020,Kebakaran,Pulo Gebang,Cakung,Jakarta Timur,"200,000,000",Bencana Kebakaran
8/1/2020,Bantuan Operasi,Baru,Pasar Rebo,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Malaka Jaya,Duren Sawit,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Malaka Jaya,Duren Sawit,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Cipinang,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Cipinang,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/1/2020,Penyelamatan,Gandaria Selatan,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
8/1/2020,Penyelamatan,Kota Bambu Selatan,Palmerah,Jakarta Barat,0,Evakuasi Banjir / Penyelamatan Air 
8/1/2020,Kebakaran,Kedaung Kali Angke,Cengkareng,Jakarta Barat,"850,000,000",Bencana Kebakaran
8/1/2020,Penyelamatan,Cilandak Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/1/2020,Bantuan Operasi,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Kerja Bakti
8/1/2020,Penyelamatan,Duri Kepa,Kebun Jeruk,Jakarta Barat,0,Penyelamatan Transportasi
8/1/2020,Penyelamatan,Kedaung Kali Angke,Cengkareng,Jakarta Barat,0,Pengendalian Hewan
8/1/2020,Bantuan Operasi,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Galur,Johar Baru,Jakarta Pusat,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/2/2020,Bantuan Operasi,Bendungan Hilir,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/1/2020,Kebakaran,Pondok Bambu,Duren Sawit,Jakarta Timur,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Penggilingan,Cakung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Ciracas,Ciracas,Jakarta Timur,0,Bencana Kebakaran
8/2/2020,Kebakaran,Tanjung Priok,Tanjung Priok,Jakarta Utara,"10,000,000",Bencana Kebakaran
8/2/2020,Kebakaran,Jatipadang,Pasar Minggu,Jakarta Selatan,"500,000",Bencana Kebakaran
8/2/2020,Kebakaran,Meruya Utara,Kembangan,Jakarta Barat,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Grogol,Grogol Petamburan,Jakarta Barat,0,Pengendalian Hewan
8/2/2020,Penyelamatan,Lubang Buaya,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Tanjung Duren Selatan,Grogol Petamburan,Jakarta Barat,"100,000,000",Bencana Kebakaran
8/2/2020,Penyelamatan,Cilangkap,Cipayung,Jakarta Timur,0,Penyelamatan Transportasi
8/2/2020,Bantuan Operasi,Pisangan Timur,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/3/2020,Penyelamatan,Bambu Apus,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,"5,000,000",Bencana Kebakaran
8/2/2020,Kebakaran,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Tebet barat,Tebet,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/2/2020,Penyelamatan,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/3/2020,Kebakaran,Duren sawit,Duren Sawit,Jakarta Timur,0,Bencana Kebakaran
8/3/2020,Bantuan Operasi,Lagoa,Koja,Jakarta Utara,0,Kerja Bakti
8/3/2020,Penyelamatan,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Penyelamatan Transportasi
8/3/2020,Penyelamatan,Pegangsaan,Menteng,Jakarta Pusat,0,Pengendalian Hewan
8/3/2020,Bantuan Operasi,Kebon Kacang,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
8/3/2020,Penyelamatan,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0,Pohon Tumbang
8/3/2020,Kebakaran,Cakung Barat,Cakung,Jakarta Timur,"50,000,000",Bencana Kebakaran
8/4/2020,Bantuan Operasi,Tebet Barat,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Tebet Timur,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Petukangan Utara,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Penyelamatan,Pasar Manggis,Setiabudi,Jakarta Selatan,0,Pengendalian Hewan
8/4/2020,Penyelamatan,Rawa Badak Selatan,Koja,Jakarta Utara,0,Pengendalian Hewan
8/4/2020,Penyelamatan,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/4/2020,Penyelamatan,Menteng Atas,Setiabudi,Jakarta Selatan,0,Pengendalian Hewan
8/4/2020,Kebakaran,Kebon Pala,Makasar,Jakarta Timur,0,Bencana Kebakaran
8/4/2020,Penyelamatan,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
8/4/2020,Kebakaran,Menteng Dalam,Tebet,Jakarta Selatan,0,Bencana Kebakaran
8/4/2020,Kebakaran,Kembangan Utara,Kembangan,Jakarta Barat,0,Bencana Kebakaran
8/4/2020,Penyelamatan,Glodok,Taman Sari,Jakarta Barat,0,Penyelamatan Transportasi
8/5/2020,Penyelamatan,Kebon Bawang,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
8/5/2020,Kebakaran,Cipinang Besar Selatan,Jatinegara,Jakarta Timur,"7,000,000",Bencana Kebakaran
8/5/2020,Penyelamatan,Cakung Timur,Cakung,Jakarta Timur,0,Pengendalian Hewan
8/5/2020,Penyelamatan,Kalisari,Pasar Rebo,Jakarta Timur,0,Pengendalian Hewan
8/5/2020,Penyelamatan,Duren sawit,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
8/5/2020,Penyelamatan,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,0,Pengendalian Hewan
8/5/2020,Kebakaran,Kamal,Kalideres,Jakarta Barat,0,Bencana Kebakaran
8/5/2020,Penyelamatan,Pondok Kopi,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
8/5/2020,Penyelamatan,Kalibaru,Cilincing,Jakarta Utara,0,Pengendalian Hewan
8/5/2020,Kebakaran,Tegal Parang,Mampang Prapatan,Jakarta Selatan,"300,000",Bencana Kebakaran
8/5/2020,Penyelamatan,Semper Barat,Cilincing,Jakarta Utara,0,Pengendalian Hewan
8/5/2020,Penyelamatan,Kalideres,Kalideres,Jakarta Barat,0,Pengendalian Hewan
8/5/2020,Kebakaran,Pekojan,Tambora,Jakarta Barat,0,Bencana Kebakaran
8/5/2020,Kebakaran,Pasar Minggu,Pasar Minggu,Jakarta Selatan,"5,000,000",Bencana Kebakaran
8/6/2020,Penyelamatan,Palmerah,Palmerah,Jakarta Barat,0,Pengendalian Hewan
8/6/2020,Penyelamatan,Cipayung,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/6/2020,Kebakaran,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"150,000,000",Bencana Kebakaran
8/6/2020,Kebakaran,Bukit Duri,Tebet,Jakarta Selatan,"2,000,000",Bencana Kebakaran
8/6/2020,Kebakaran,Cilandak barat,Cilandak,Jakarta Selatan,"500,000",Bencana Kebakaran
8/6/2020,Penyelamatan,Cipedak,Jagakarsa,Jakarta Selatan,0,Penyelamatan Transportasi
8/6/2020,Penyelamatan,Rawa Terate,Cakung,Jakarta Timur,0,Pengendalian Hewan
8/6/2020,Penyelamatan,Cikini,Menteng,Jakarta Pusat,0,Pengendalian Hewan
8/6/2020,Kebakaran,Penjaringan,Penjaringan,Jakarta Utara,"5,000,000",Bencana Kebakaran
8/6/2020,Penyelamatan,Ulujami,Pesanggrahan,Jakarta Selatan,0,Pengendalian Hewan
8/7/2020,Kebakaran,Menteng,Menteng,Jakarta Pusat,"3,500,000",Bencana Kebakaran
8/6/2020,Bantuan Operasi,Kebon Sirih,Menteng,Jakarta Pusat,0,Kerja Bakti
8/6/2020,Penyelamatan,Semper Timur,Cilincing,Jakarta Utara,0,Pengendalian Hewan
8/6/2020,Kebakaran,Jelambar,Grogol Petamburan,Jakarta Barat,0,Bencana Kebakaran
8/7/2020,Kebakaran,Tomang,Grogol Petamburan,Jakarta Barat,"450,000,000",Bencana Kebakaran
8/7/2020,Bantuan Operasi,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Menteng Atas,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Karet Kuningan,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Karet,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Srengseng Sawah,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Bantuan Operasi,Pasar Minggu,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/7/2020,Kebakaran,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Bencana Kebakaran
8/7/2020,Kebakaran,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,0,Bencana Kebakaran
8/7/2020,Penyelamatan,Pondok Ranggon,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/7/2020,Bantuan Operasi,Cawang,Kramat Jati,Jakarta Timur,0,Kerja Bakti
8/7/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/7/2020,Bantuan Operasi,Harapan Mulia,Kemayoran,Jakarta Pusat,0,Kerja Bakti
8/7/2020,Kebakaran,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Bencana Kebakaran
8/7/2020,Penyelamatan,Roa Malaka,Tambora,Jakarta Barat,0,Pengendalian Hewan
8/8/2020,Kebakaran,Pegadungan,Kalideres,Jakarta Barat,0,Bencana Kebakaran
8/8/2020,Penyelamatan,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Operasi Penyelamatan Lainnya
8/8/2020,Kebakaran,Duri Utara,Tambora,Jakarta Barat,0,Bencana Kebakaran
8/8/2020,Kebakaran,Penjaringan,Penjaringan,Jakarta Utara,"200,000,000",Bencana Kebakaran
8/7/2020,Penyelamatan,Tanjung Barat,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
8/8/2020,Kebakaran,Pluit,Penjaringan,Jakarta Utara,"500,000,000",Bencana Kebakaran
8/7/2020,Bantuan Operasi,Lebak Bulus,Cilandak,Jakarta Selatan,0,Kerja Bakti
8/8/2020,Kebakaran,Pejagalan,Penjaringan,Jakarta Utara,"2,000,000",Bencana Kebakaran
8/8/2020,Kebakaran,Pulo Gebang,Cakung,Jakarta Timur,"50,000,000",Bencana Kebakaran
8/8/2020,Penyelamatan,Cibubur,Ciracas,Jakarta Timur,0,Pengendalian Hewan
8/8/2020,Kebakaran,Pasar Manggis,Setiabudi,Jakarta Selatan,"5,000,000",Bencana Kebakaran
8/8/2020,Penyelamatan,Pegadungan,Kalideres,Jakarta Barat,0,Pengendalian Hewan
8/8/2020,Penyelamatan,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Pengendalian Hewan
8/9/2020,Kebakaran,Kebon Manggis,Matraman,Jakarta Timur,0,Bencana Kebakaran
8/8/2020,Penyelamatan,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Pengendalian Hewan
8/8/2020,Penyelamatan,Pejaten Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/8/2020,Penyelamatan,Ulujami,Pesanggrahan,Jakarta Selatan,0,Pengendalian Hewan
8/8/2020,Penyelamatan,Cipedak,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
8/8/2020,Penyelamatan,Petukangan Utara,Pesanggrahan,Jakarta Selatan,0,Pengendalian Hewan
8/9/2020,Bantuan Operasi,Karet Tengsin,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
8/9/2020,Kebakaran,Kapuk Muara,Penjaringan,Jakarta Utara,"1,000,000",Bencana Kebakaran
8/9/2020,Kebakaran,Pademangan Barat,Pademangan,Jakarta Utara,"500,000,000",Bencana Kebakaran
8/9/2020,Kebakaran,Keagungan,Tamansari,Jakarta Barat,"30,000,000",Bencana Kebakaran
8/9/2020,Kebakaran,Cakung barat,Cakung,Jakarta Timur,0,Bencana Kebakaran
8/9/2020,Kebakaran,Cakung Barat,Cakung,Jakarta Timur,0,Bencana Kebakaran
8/9/2020,Penyelamatan,Warakas,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
8/9/2020,Penyelamatan,Kembangan Selatan,Kembangan,Jakarta Barat,0,Operasi Penyelamatan Lainnya
8/9/2020,Penyelamatan,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/9/2020,Penyelamatan,Lebak Bulus,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
8/9/2020,Penyelamatan,Cipedak,Jagakarsa,Jakarta Selatan,0,Penyelamatan Transportasi
8/9/2020,Penyelamatan,Manggarai Selatan,Tebet,Jakarta Selatan,0,Penyelamatan Transportasi
8/9/2020,Penyelamatan,Semper Barat,Cilincing,Jakarta Utara,0,Pertolongan Gawat Darurat (Ambulan).
8/10/2020,Penyelamatan,Cibubur,Ciracas,Jakarta Timur,0,Pengendalian Hewan
8/10/2020,Kebakaran,Kebon jeruk,Kebun Jeruk,Jakarta Barat,"10,000,000",Bencana Kebakaran
8/10/2020,Kebakaran,Jembatan Besi,Tambora,Jakarta Barat,0,Bencana Kebakaran
8/10/2020,Bantuan Operasi,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Petukangan Utara,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Menteng Atas,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Karet Semanggi,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Karet Kuningan,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Srengseng Sawah,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Bukit Duri,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Bantuan Operasi,Pasar Minggu,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/10/2020,Penyelamatan,Pengadegan,Pancoran,Jakarta Selatan,0,Pengendalian Hewan
8/10/2020,Kebakaran,Gandaria Selatan,Cilandak,Jakarta Selatan,"1,000,000",Bencana Kebakaran
8/10/2020,Penyelamatan,Joglo,Kembangan,Jakarta Barat,0,Pengendalian Hewan
8/10/2020,Penyelamatan,Pejaten Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/10/2020,Kebakaran,Kapuk,Cengkareng,Jakarta Barat,"20,000,000",Bencana Kebakaran
8/10/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/10/2020,Penyelamatan,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/10/2020,Penyelamatan,Kapuk,Cengkareng,Jakarta Barat,0,Pengendalian Hewan
8/10/2020,Penyelamatan,Johar Baru,Johar Baru,Jakarta Pusat,0,Operasi Penyelamatan Lainnya
8/10/2020,Kebakaran,Pademangan Timur,Pademangan,Jakarta Utara,"250,000,000",Bencana Kebakaran
8/10/2020,Kebakaran,Gunung,Kebayoran Baru,Jakarta Selatan,"50,000,000",Bencana Kebakaran
8/11/2020,Penyelamatan,Bukit Duri,Tebet,Jakarta Selatan,0,Penyelamatan Beda Ketinggian
8/11/2020,Penyelamatan,Ancol,Pademangan,Jakarta Utara,0,Pohon Tumbang
8/11/2020,Penyelamatan,Pluit,Penjaringan,Jakarta Utara,0,Operasi Penyelamatan Lainnya
8/11/2020,Kebakaran,Jembatan Lima,Tambora,Jakarta Barat,0,Bencana Kebakaran
8/11/2020,Penyelamatan,Pinang Ranti,Makasar,Jakarta Timur,0,Pengendalian Hewan
8/11/2020,Penyelamatan,Cipete Utara,Kebayoran Baru,Jakarta Selatan,0,Pengendalian Hewan
8/11/2020,Penyelamatan,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,0,Pengendalian Hewan
8/11/2020,Penyelamatan,Gandaria Selatan,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
8/11/2020,Kebakaran,Duri Selatan,Tambora,Jakarta Barat,0,Bencana Kebakaran
8/11/2020,Penyelamatan,Slipi,Palmerah,Jakarta Barat,0,Pengendalian Hewan
8/11/2020,Penyelamatan,Tegal Alur,Kalideres,Jakarta Barat,0,Pengendalian Hewan
8/11/2020,Penyelamatan,Semanan,Kalideres,Jakarta Barat,0,Pengendalian Hewan
8/12/2020,Penyelamatan,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Pengendalian Hewan
8/12/2020,Bantuan Operasi,Karet Tengsin,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
8/12/2020,Penyelamatan,Ancol,Pademangan,Jakarta Utara,0,Pengendalian Hewan
8/12/2020,Penyelamatan,Srengseng Sawah,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
8/12/2020,Penyelamatan,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/12/2020,Penyelamatan,Cipinang Melayu,Makasar,Jakarta Timur,0,Pengendalian Hewan
8/12/2020,Penyelamatan,Pondok Kopi,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
8/12/2020,Kebakaran,Kamal,Kalideres,Jakarta Barat,"5,000,000",Bencana Kebakaran
8/12/2020,Penyelamatan,Kebon Manggis,Matraman,Jakarta Timur,0,Operasi Penyelamatan Lainnya
8/13/2020,Kebakaran,Srengseng,Kembangan,Jakarta Barat,0,Bencana Kebakaran
8/13/2020,Bantuan Operasi,Gambir,Gambir,Jakarta Pusat,0,Kerja Bakti
8/13/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
8/13/2020,Kebakaran,Paseban,Senen,Jakarta Pusat,"2,000,000",Bencana Kebakaran
8/13/2020,Kebakaran,Papanggo,Tanjung Priok,Jakarta Utara,"10,000,000",Bencana Kebakaran
8/13/2020,Kebakaran,Ancol,Pademangan,Jakarta Utara,"500,000",Bencana Kebakaran
8/13/2020,Penyelamatan,kalideres,Kalideres,Jakarta Barat,0,Pohon Tumbang
8/13/2020,Penyelamatan,Petukangan Selatan,Pesanggrahan,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/13/2020,Bantuan Operasi,kalisari,Pasar Rebo,Jakarta Timur,0,Kerja Bakti
8/13/2020,Penyelamatan,Pondok Ranggon,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/13/2020,Kebakaran,Kayu Manis,Matraman,Jakarta Timur,"20,000,000",Bencana Kebakaran
8/13/2020,Kebakaran,Bidara Cina,Jatinegara,Jakarta Timur,0,Bencana Kebakaran
8/13/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Penyelamatan,Pancoran,Pancoran,Jakarta Selatan,0,Pengendalian Hewan
8/13/2020,Penyelamatan,Cilandak Barat,Cilandak,Jakarta Selatan,0,Penyelamatan Transportasi
8/13/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/13/2020,Bantuan Operasi,Karet,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Menteng Dalam,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Karet Semanggi,Setiabudi,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Petukangan utara,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Tebet Timur,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Tebet Barat,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Bukit Duri,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Srengseng Sawah,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Cilandak Timur,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Pejaten Timur,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Ragunan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Pela Mampang,Mampang Prapatan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Bangka,Mampang Prapatan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/13/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/14/2020,Kebakaran,Jatinegara,Cakung,Jakarta Timur,"3,000,000",Bencana Kebakaran
8/14/2020,Penyelamatan,Kedoya Selatan,Kebun Jeruk,Jakarta Barat,0,Pengendalian Hewan
8/14/2020,Penyelamatan,Cijantung,Pasar Rebo,Jakarta Timur,0,Pohon Tumbang
8/14/2020,Kebakaran,Cakung Barat,Cakung,Jakarta Timur,0,Bencana Kebakaran
8/14/2020,Penyelamatan,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/14/2020,Penyelamatan,Pela Mampang,Mampang Prapatan,Jakarta Selatan,0,Pengendalian Hewan
8/14/2020,Kebakaran,Cilandak Timur,Pasar Minggu,Jakarta Selatan,"100,000",Bencana Kebakaran
8/14/2020,Kebakaran,Pejaten Barat,Pasar Minggu,Jakarta Selatan,0,Bencana Kebakaran
8/14/2020,Kebakaran,Ragunan,Pasar Minggu,Jakarta Selatan,0,Bencana Kebakaran
8/14/2020,Kebakaran,Tebet Timur,Tebet,Jakarta Selatan,0,Bencana Kebakaran
8/14/2020,Kebakaran,Cilincing,Cilincing,Jakarta Utara,0,Bencana Kebakaran
8/14/2020,Penyelamatan,Pluit,Penjaringan,Jakarta Utara,0,Operasi Penyelamatan Lainnya
8/14/2020,Penyelamatan,Lagoa,Koja,Jakarta Utara,0,Operasi Penyelamatan Lainnya
8/14/2020,Penyelamatan,Kembangan Selatan,Kembangan,Jakarta Barat,0,Pengendalian Hewan
8/14/2020,Penyelamatan,Joglo,Kembangan,Jakarta Barat,0,Pohon Tumbang
8/14/2020,Penyelamatan,Joglo,Kembangan,Jakarta Barat,0,Pengendalian Hewan
8/14/2020,Penyelamatan,Jelambar Baru,Grogol Petamburan,Jakarta Barat,0,Pengendalian Hewan
8/14/2020,Penyelamatan,Pondok Kelapa,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
8/14/2020,Penyelamatan,Dukuh,Kramat Jati,Jakarta Timur,0,Pengendalian Hewan
8/14/2020,Bantuan Operasi,Duri Selatan,Tambora,Jakarta Barat,0,Kerja Bakti
8/15/2020,Kebakaran,Cempaka Baru,Kemayoran,Jakarta Pusat,"20,000,000",Bencana Kebakaran
8/15/2020,Kebakaran,Semper Barat,Cilincing,Jakarta Utara,"50,000,000",Bencana Kebakaran
8/15/2020,Penyelamatan,Cipete Selatan,Cilandak,Jakarta Selatan,0,Penyelamatan Transportasi
8/15/2020,Penyelamatan,Kembangan Selatan,Kembangan,Jakarta Barat,0,Operasi Penyelamatan Lainnya
8/15/2020,Penyelamatan,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,0,Pengendalian Hewan
8/15/2020,Penyelamatan,Lebak Bulus,Cilandak,Jakarta Selatan,0,Pohon Tumbang
8/15/2020,Penyelamatan,Cipedak,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
8/16/2020,Kebakaran,Rambutan,Ciracas,Jakarta Timur,0,Bencana Kebakaran
8/16/2020,Penyelamatan,Kamal Muara,Penjaringan,Jakarta Utara,0,Operasi Penyelamatan Lainnya
8/16/2020,Penyelamatan,Pejaten Timur,Pasar Minggu,Jakarta Selatan,0,Penyelamatan Collapse Structure
8/16/2020,Penyelamatan,Ragunan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/16/2020,Kebakaran,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,"150,000,000",Bencana Kebakaran
8/16/2020,Bantuan Operasi,Pasar Minggu,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Bantuan Operasi,Tebet Barat,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Bantuan Operasi,Cipulir,Kebayoran Lama,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Bantuan Operasi,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/16/2020,Penyelamatan,Kebon Kelapa,Gambir,Jakarta Pusat,"1,008,000",Penyelamatan Transportasi
